ID,Title,Type,URL,"SEO Title","Meta Description"
2702,"Shop #2",page,https://book-a-bubble.de/?page_id=2702,"Shop - Book a Bubble","Entdecke unsere Auswahl an unvergesslichen Glamping-Erlebnissen. Buche dein Abenteuer im Bubble Tent!"
72,"Startseite - old 06-26",page,https://book-a-bubble.de/home-7/,"Book a Bubble - Finde dein Bubble Hotel","Buche eine unvergessliche Nacht im Bubble Tent. Licht aus, Sterne an – entdecke Bubble Tent Deutschland!"
319,FAQ,page,https://book-a-bubble.de/faq/,"FAQ - Book a Bubble","Finde Antworten auf alle Fragen zu unseren Bubble Tents, Buchungen und Gutscheinen. Alles auf einen Blick!"
2363,Privat,page,https://book-a-bubble.de/privat/,"Private - Book a Bubble","Entdecke exklusive Übernachtungsmöglichkeiten und Angebote für private Erlebnisse im Bubble Tent!"
2384,Adventskalender,page,https://book-a-bubble.de/adventskalender/,"Bubble Tent Adventskalender - Übernachtung buchen","Entdecke täglich neue Überraschungen! Dein Bubble Tent-Erlebnis wartet hinter jedem Türchen."
2535,test,page,https://book-a-bubble.de/test/,"Testseite - Book a Bubble","Diese Seite wird für Testzwecke verwendet. Finde hier alle Funktionen rund um Bubble Tent Buchungen."
7186,Valentinstag,page,https://book-a-bubble.de/valentinstag/,"Valentinstag - Bubble Tent Erlebnisse schenken","Romantik pur! Schenke deinem Lieblingsmenschen eine unvergessliche Übernachtung im Bubble Tent."
7316,iCal,page,https://book-a-bubble.de/ical/,"iCal - Synchronisiere deine Termine","Synchronisiere deine Buchungen mit iCal und erhalte einen Überblick über deine Bubble Tent Erlebnisse."
26565,"Testschläferaktion Eichstetten am Kaiserstuhl",page,https://book-a-bubble.de/testschlaeferaktion-eichstetten-am-kaiserstuhl/,"Testschläferaktion Eichstetten - Bubble Tent","Teste die Magie des Bubble Tents in Eichstetten am Kaiserstuhl – Natur und Komfort hautnah erleben."
26723,"Testschläferaktion Berlin",page,https://book-a-bubble.de/testschlaeferaktion-berlin/,"Testschläferaktion Berlin - Glamping erleben","Probiere das Bubble Tent in Berlin aus und genieße eine einzigartige Nacht voller Natur und Romantik!"
26737,"Testschläferaktion Düsseldorf",page,https://book-a-bubble.de/testschlaeferaktion-duesseldorf/,"Testschläferaktion Düsseldorf – Glamping erleben","Teste das Bubble Tent in Düsseldorf und erlebe unvergessliche Nächte unter dem Sternenhimmel!"
117707,"Weihnachtsbox 2023",page,https://book-a-bubble.de/weihnachtsaktion-2023/,"Weihnachtsbox 2023 – Glamping verschenken","Schenke magische Nächte im Bubble Tent – die perfekte Geschenkidee für Weihnachten 2023!"
180456,"Startseite - 12-09",page,https://book-a-bubble.de/startseite/,"Book a Bubble - Finde dein Bubble Hotel","Buche eine unvergessliche Nacht im Bubble Tent. Licht aus, Sterne an – entdecke Bubble Hotels in Deutschland!"
183960,"Testschläferaktion Steigerwald",page,https://book-a-bubble.de/testschlaferaktion-steigerwald/,"Testschläferaktion Steigerwald – Natur pur erleben","Erlebe das Bubble Tent im Steigerwald und teste Glamping mitten in der Natur – ideal für Abenteurer!"
220720,"Testschläferaktion Bottwartal",page,https://book-a-bubble.de/testschlaeferaktion-bottwartal/,"Testschläferaktion Bottwartal – Glamping im Grünen","Teste das Bubble Tent im Bottwartal und genieße eine Nacht voller Natur und Romantik!"
220732,"Testschläferaktion Harz",page,https://book-a-bubble.de/testschlaeferaktion-harz/,"Testschläferaktion Harz – Abenteuer in den Bergen","Teste das Bubble Tent im Harz und erlebe eine Nacht voller Ruhe, Natur und Komfort in den Bergen!"
98,Dashboard,page,https://book-a-bubble.de/dashboard/,"Dashboard - Book a Bubble","Behalte deine Buchungen im Blick: Dein persönliches Dashboard für alle Bubble Tent Erlebnisse."
99,Messages,page,https://book-a-bubble.de/messages/,"Nachrichten - Book a Bubble","Verwalte deine Nachrichten und Buchungen bequem über dein persönliches Bubble Tent Dashboard."
100,Bookings,page,https://book-a-bubble.de/bookings/,"Buchungen - Book a Bubble","Sieh dir deine aktuellen und vergangenen Bubble Tent Buchungen an – alles auf einen Blick!"
101,"My Listings",page,https://book-a-bubble.de/my-listings/,"Meine Listings - Book a Bubble","Verwalte deine Bubble Tent Listings und aktualisiere sie ganz einfach über dein persönliches Konto."
102,Reviews,page,https://book-a-bubble.de/reviews/,"Bewertungen - Book a Bubble","Lies echte Bewertungen von Gästen, die unvergessliche Nächte in unseren Bubble Tents verbracht haben!"
103,Bookmarks,page,https://book-a-bubble.de/bookmarks/,"Favoriten - Book a Bubble","Behalte deine Lieblings-Bubble Tents im Blick – verwalte und buche deine Favoriten ganz einfach!"
104,"Standort hinzufügen",page,https://book-a-bubble.de/add-listing/,"Bubble Tent Standort hinzufügen","Füge dein Bubble Tent zur Plattform hinzu und erreiche Gäste, die ein einzigartiges Glamping-Erlebnis suchen."
105,"My Profile",page,https://book-a-bubble.de/my-profile/,"Mein Profil - Book a Bubble","Verwalte deine persönlichen Daten, Buchungen und Einstellungen für dein Bubble Tent Erlebnis."
106,"Coming Soon",page,https://book-a-bubble.de/coming-soon/,"Bald verfügbar - Book a Bubble","Neue Bubble Tent Erlebnisse sind bald verfügbar – sei gespannt auf aufregende Glamping-Möglichkeiten!"
86,Buchung,page,https://book-a-bubble.de/buchungsbestaetigung/,"Buchungsbestätigung - Book a Bubble","Überprüfe deine Buchungsdetails und genieße deine bevorstehende Übernachtung im Bubble Tent!"
85,"My Bookings",page,https://book-a-bubble.de/my-bookings/,"Meine Buchungen - Book a Bubble","Sieh dir deine vergangenen und bevorstehenden Bubble Tent Buchungen an – alles übersichtlich an einem Ort."
84,"Claim Listing",page,https://book-a-bubble.de/claim-listing/,"Listing beanspruchen - Book a Bubble","Beanspruche dein Bubble Tent Listing und verwalte es ganz einfach über dein Dashboard."
